SITE_NO,DATE,TIME,GEN_ENERGY,TEMPERATURE,SOLAR_IRRADIANCE,WIND_SPEED,MODULE_TEMPERATURE,POP,REH,SKY,T3H,WSD
SJ001,245,5.0,0.0,0,0,0.0000,0,10,85,2,16,0.4
SJ001,245,5.166666666666667,0.0,0,0,0.0000,0,10,85,2,16,0.4
SJ001,245,5.333333333333333,0.0,0,0,0.0000,0,10,85,2,16,0.4
SJ001,245,5.5,0.0,0,0,0.0000,0,10,85,2,16,0.4
SJ001,245,5.666666666666667,0.0,14.8200,0,0.0000,13.3729,10,85,2,16,0.4
SJ001,245,5.833333333333333,0.0,14.9750,0,0.0000,13.5125,10,85,2,16,0.4
SJ001,245,6.0,0.0,15.1596,5.9075,0.0000,13.8788,10,85,2,16,0.4
SJ001,245,6.166666666666667,4.0,15.3700,27.0971,0.0000,14.2208,10,65,2,21,0.5
SJ001,245,6.333333333333333,23.0,15.2937,63.4888,0.0000,14.9563,10,65,2,21,0.5
SJ001,245,6.5,26.0,15.6300,68.4151,0.0000,15.8825,10,65,2,21,0.5
SJ001,245,6.666666666666667,29.0,15.5667,67.7205,0.0000,15.8404,10,65,2,21,0.5
SJ001,245,6.833333333333333,57.0,15.6725,120.8563,0.0000,15.6625,10,65,2,21,0.5
SJ001,245,7.0,57.0,16.2617,143.4204,0.0000,16.7533,10,65,2,21,0.5
SJ001,245,7.166666666666667,61.0,16.3179,154.0738,0.0000,17.0200,10,65,2,21,0.5
SJ001,245,7.333333333333333,69.0,16.5963,157.1369,0.0000,17.6450,10,65,2,21,0.5
SJ001,245,7.5,118.0,17.3004,255.2678,0.0000,19.1742,10,65,2,21,0.5
SJ001,245,7.666666666666667,67.0,17.4800,135.3338,0.0000,20.4054,10,65,2,21,0.5
SJ001,245,7.833333333333333,68.0,17.7750,141.3363,0.0000,19.8487,10,65,2,21,0.5
SJ001,245,8.0,156.0,17.8425,314.7144,0.0000,20.6988,10,65,2,21,0.5
SJ001,245,8.166666666666666,170.0,18.6529,349.0597,0.0000,23.9200,10,65,2,21,0.5
