"SITE_NO","DATE","TIME","GEN_ENERGY","TEMPERATURE","SOLAR_IRRADIANCE","WIND_SPEED","MODULE_TEMPERATURE"
"SJ001","2017-09-01","05:00:00","0.0000", , ,"0.2675", 
"SJ001","2017-09-01","05:10:00","0.0000", , ,"0.0720", 
"SJ001","2017-09-01","05:20:00","0.0000", , ,"0.0000", 
"SJ001","2017-09-01","05:30:00","0.0000", , ,"0.0000", 
"SJ001","2017-09-01","05:40:00","0.0000","15.5596", ,"0.0000","13.8067"
"SJ001","2017-09-01","05:50:00","0.0000","15.8846", ,"0.0000","14.4667"
"SJ001","2017-09-01","06:00:00","0.0000","15.8233", ,"0.0000","14.8812"
"SJ001","2017-09-01","06:10:00","0.0000","16.0275","14.0542","0.0000","14.8938"
"SJ001","2017-09-01","06:20:00","3.0000","16.2921","39.7109","0.0000","15.1279"
"SJ001","2017-09-01","06:30:00","28.0000","15.7758","98.2302","0.0000","15.1000"
"SJ001","2017-09-01","06:40:00","33.0000","16.0375","121.5713","0.0000","15.1692"
"SJ001","2017-09-01","06:50:00","47.0000","16.2338","151.0818","0.0000","15.5237"
"SJ001","2017-09-01","07:00:00","64.0000","16.5458","186.5663","0.0000","16.2146"
"SJ001","2017-09-01","07:10:00","83.0000","16.8496","220.0476","0.0000","16.8354"
"SJ001","2017-09-01","07:20:00","94.0000","17.1238","224.3015","0.0000","17.9563"
"SJ001","2017-09-01","07:30:00","108.0000","17.4717","250.9233","0.0000","18.9283"
"SJ001","2017-09-01","07:40:00","135.0000","17.6950","300.2100","0.0000","20.1508"
"SJ001","2017-09-01","07:50:00","137.0000","18.1300","302.3355","0.0000","21.7237"
"SJ001","2017-09-01","08:00:00","153.0000","18.4417","316.2892","0.0000","22.2250"
"SJ001","2017-09-01","08:10:00","190.0000","19.7037","399.2406","0.0000","24.4833"
"SJ001","2017-09-01","08:20:00","213.0000","19.9321","438.3387","0.0000","27.2638"
"SJ001","2017-09-01","08:30:00","234.0000","20.8250","474.6884","0.0000","29.6875"
"SJ001","2017-09-01","08:40:00","257.0000","21.5592","517.7717","0.0000","32.4967"
"SJ001","2017-09-01","08:50:00","264.0000","21.0500","553.0174","0.0000","35.5700"
"SJ001","2017-09-01","09:00:00","271.0000","21.8542","571.2580","0.1350","38.1904"
"SJ001","2017-09-01","09:10:00","289.0000","22.2492","607.6844","0.2272","39.0942"
"SJ001","2017-09-01","09:20:00","299.0000","23.3654","630.1980","0.4170","40.5646"
"SJ001","2017-09-01","09:30:00","317.0000","24.0592","652.4990","0.2450","42.3654"
"SJ001","2017-09-01","09:40:00","320.0000","24.4763","669.4857","0.0330","44.1183"
"SJ001","2017-09-01","09:50:00","326.0000","24.7338","692.9687","0.3518","46.3467"
"SJ001","2017-09-01","10:00:00","335.0000","25.0058","709.0693","0.4208","47.3471"
"SJ001","2017-09-01","10:10:00","356.0000","25.3083","710.0567","1.2755","48.2800"
