SITE_NO,DATE,TIME,GEN_ENERGY,0,TEMPERATURE,SOLAR_IRRADIANCE,WIND_SPEED,MODULE_TEMPERATURE,POP,REH,SKY,T3H,WSD
SJ002,2,5.0,0.0,2018-01-02 05:00:00,0,0,0,0,0,50,1,-3,2.2
SJ002,2,5.166666666666667,0.0,2018-01-02 05:10:00,0,0,0,0,0,50,1,-3,2.2
SJ002,2,5.333333333333333,0.0,2018-01-02 05:20:00,0,0,0,0,0,50,1,-3,2.2
SJ002,2,5.5,0.0,2018-01-02 05:30:00,0,0,0,0,0,50,1,-3,2.2
SJ002,2,5.666666666666667,0.0,2018-01-02 05:40:00,0,0,0,0,0,50,1,-3,2.2
SJ002,2,5.833333333333333,0.0,2018-01-02 05:50:00,0,0,0,0,0,50,1,-3,2.2
SJ002,2,6.0,0.0,2018-01-02 06:00:00,0,0,0,0,0,50,1,-3,2.2
SJ002,2,6.166666666666667,0.0,2018-01-02 06:10:00,0,0,0,0,0,35,1,-1,1.8
SJ002,2,6.333333333333333,0.0,2018-01-02 06:20:00,0,0,0,0,0,35,1,-1,1.8
SJ002,2,6.5,0.0,2018-01-02 06:30:00,0,0,0,0,0,35,1,-1,1.8
SJ002,2,6.666666666666667,0.0,2018-01-02 06:40:00,0,0,0,0,0,35,1,-1,1.8
SJ002,2,6.833333333333333,0.0,2018-01-02 06:50:00,0,0,0,0,0,35,1,-1,1.8
SJ002,2,7.0,0.0,2018-01-02 07:00:00,0,0,0,0,0,35,1,-1,1.8
SJ002,2,7.166666666666667,0.0,2018-01-02 07:10:00,0,0,0,0,0,35,1,-1,1.8
SJ002,2,7.333333333333333,0.0,2018-01-02 07:20:00,0,0,0,0,0,35,1,-1,1.8
SJ002,2,7.5,0.0,2018-01-02 07:30:00,0,0,0,0,0,35,1,-1,1.8
SJ002,2,7.666666666666667,0.0,2018-01-02 07:40:00,0,1.9800,0,0,0,35,1,-1,1.8
SJ002,2,7.833333333333333,5.8,2018-01-02 07:50:00,0,9.1022,0,0,0,35,1,-1,1.8
SJ002,2,8.0,9.86,2018-01-02 08:00:00,0,19.0034,0,0,0,35,1,-1,1.8
SJ002,2,8.166666666666666,14.54,2018-01-02 08:10:00,0,31.0935,0,0,0,35,1,-1,1.8
SJ002,2,8.333333333333334,21.7,2018-01-02 08:20:00,0,43.8015,0,0,0,35,1,-1,1.8
SJ002,2,8.5,27.7,2018-01-02 08:30:00,0,58.5918,0,0,0,35,1,-1,1.8
SJ002,2,8.666666666666666,34.56,2018-01-02 08:40:00,0,91.3617,0,0,0,35,1,-1,1.8
SJ002,2,8.833333333333334,43.44,2018-01-02 08:50:00,0,103.6761,0,0,0,35,1,-1,1.8
SJ002,2,9.0,58.9,2018-01-02 09:00:00,0,133.7636,0,0,0,35,1,-1,1.8
SJ002,2,9.166666666666666,78.3,2018-01-02 09:10:00,0,164.0704,0,0,0,20,1,4,2.3
SJ002,2,9.333333333333334,92.4,2018-01-02 09:20:00,0,188.8417,0,0,0,20,1,4,2.3
SJ002,2,9.5,105.96,2018-01-02 09:30:00,0,209.0416,0,0,0,20,1,4,2.3
SJ002,2,9.666666666666666,115.0,2018-01-02 09:40:00,0,215.9524,0,0,0,20,1,4,2.3
SJ002,2,9.833333333333334,123.24,2018-01-02 09:50:00,0,227.9339,0,0,0,20,1,4,2.3
SJ002,2,10.0,122.4,2018-01-02 10:00:00,0,215.7126,0,2.1375,0,20,1,4,2.3
SJ002,2,10.166666666666666,111.24,2018-01-02 10:10:00,0,206.3661,0,2.2612,0,20,1,4,2.3
SJ002,2,10.333333333333334,109.06,2018-01-02 10:20:00,0,194.6354,0,2.2675,0,20,1,4,2.3
SJ002,2,10.5,143.56,2018-01-02 10:30:00,1.8604,265.0097,1.1690,2.7650,0,20,1,4,2.3
SJ002,2,10.666666666666666,172.44,2018-01-02 10:40:00,2.4442,337.0997,1.4305,4.9771,0,20,1,4,2.3
SJ002,2,10.833333333333334,198.6,2018-01-02 10:50:00,2.8829,371.7033,1.2265,6.5929,0,20,1,4,2.3
SJ002,2,11.0,196.6,2018-01-02 11:00:00,3.2000,378.9699,1.5495,8.0213,0,20,1,4,2.3
SJ002,2,11.166666666666666,205.24,2018-01-02 11:10:00,3.2558,397.4866,1.3095,7.6975,0,20,1,4,2.3
SJ002,2,11.333333333333334,216.31,2018-01-02 11:20:00,3.2004,418.3822,1.8555,7.6817,0,20,1,4,2.3
SJ002,2,11.5,200.75,2018-01-02 11:30:00,3.3563,409.5821,1.5055,8.1242,0,20,1,4,2.3
SJ002,2,11.666666666666666,206.4,2018-01-02 11:40:00,3.3296,384.4729,1.1500,7.8308,0,20,1,4,2.3
SJ002,2,11.833333333333334,204.8,2018-01-02 11:50:00,3.4092,410.9669,1.2763,8.6833,0,20,1,4,2.3
SJ002,2,12.0,199.36,2018-01-02 12:00:00,3.4704,413.0279,0.9790,8.9763,0,20,1,4,2.3
SJ002,2,12.166666666666666,206.38,2018-01-02 12:10:00,3.3958,400.5492,2.0857,8.6454,0,15,1,4,3.5
SJ002,2,12.333333333333334,167.12,2018-01-02 12:20:00,3.3354,325.0844,0.9982,7.4800,0,15,1,4,3.5
SJ002,2,12.5,154.19,2018-01-02 12:30:00,3.5038,292.9369,0.8860,7.8492,0,15,1,4,3.5
SJ002,2,12.666666666666666,124.0,2018-01-02 12:40:00,3.1750,243.5830,1.1318,6.5171,0,15,1,4,3.5
SJ002,2,12.833333333333334,80.95,2018-01-02 12:50:00,3.1517,152.0715,1.1618,5.1200,0,15,1,4,3.5
SJ002,2,13.0,94.4,2018-01-02 13:00:00,3.2313,185.2426,1.6153,4.9971,0,15,1,4,3.5
SJ002,2,13.166666666666666,88.1,2018-01-02 13:10:00,3.2746,170.7814,0.8125,4.8650,0,15,1,4,3.5
SJ002,2,13.333333333333334,62.1,2018-01-02 13:20:00,3.2062,118.6512,1.8230,4.6579,0,15,1,4,3.5
