,fcstdate,fcsttime,basedate,basetime,POP,PTY,R06,REH,S06,SKY,T3H,WSD
0,20180102,0,20180101,2300,0,0,0,55,0,1,-2,1.7
1,20180102,10,20180101,2300,0,0,0,55,0,1,-2,1.7
2,20180102,20,20180101,2300,0,0,0,55,0,1,-2,1.7
3,20180102,30,20180101,2300,0,0,0,55,0,1,-2,1.7
4,20180102,40,20180101,2300,0,0,0,55,0,1,-2,1.7
5,20180102,50,20180101,2300,0,0,0,55,0,1,-2,1.7
6,20180102,100,20180101,2300,0,0,0,55,0,1,-2,1.7
7,20180102,110,20180101,2300,0,0,0,55,0,1,-2,1.7
8,20180102,120,20180101,2300,0,0,0,55,0,1,-2,1.7
9,20180102,130,20180101,2300,0,0,0,55,0,1,-2,1.7
10,20180102,140,20180101,2300,0,0,0,55,0,1,-2,1.7
11,20180102,150,20180101,2300,0,0,0,55,0,1,-2,1.7
12,20180102,200,20180101,2300,0,0,0,55,0,1,-2,1.7
13,20180102,210,20180101,2300,0,0,0,55,0,1,-2,1.7
14,20180102,220,20180101,2300,0,0,0,55,0,1,-2,1.7
15,20180102,230,20180101,2300,0,0,0,55,0,1,-2,1.7
16,20180102,240,20180101,2300,0,0,0,55,0,1,-2,1.7
17,20180102,250,20180101,2300,0,0,0,55,0,1,-2,1.7
18,20180102,300,20180101,2300,0,0,0,55,0,1,-2,1.7
19,20180102,310,20180101,2300,0,0,0,50,0,1,-3,2.2
20,20180102,320,20180101,2300,0,0,0,50,0,1,-3,2.2
21,20180102,330,20180101,2300,0,0,0,50,0,1,-3,2.2
22,20180102,340,20180101,2300,0,0,0,50,0,1,-3,2.2
23,20180102,350,20180101,2300,0,0,0,50,0,1,-3,2.2
24,20180102,400,20180101,2300,0,0,0,50,0,1,-3,2.2
25,20180102,410,20180101,2300,0,0,0,50,0,1,-3,2.2
26,20180102,420,20180101,2300,0,0,0,50,0,1,-3,2.2
27,20180102,430,20180101,2300,0,0,0,50,0,1,-3,2.2
28,20180102,440,20180101,2300,0,0,0,50,0,1,-3,2.2
29,20180102,450,20180101,2300,0,0,0,50,0,1,-3,2.2
30,20180102,500,20180101,2300,0,0,0,50,0,1,-3,2.2
31,20180102,510,20180101,2300,0,0,0,50,0,1,-3,2.2
32,20180102,520,20180101,2300,0,0,0,50,0,1,-3,2.2
33,20180102,530,20180101,2300,0,0,0,50,0,1,-3,2.2
34,20180102,540,20180101,2300,0,0,0,50,0,1,-3,2.2
35,20180102,550,20180101,2300,0,0,0,50,0,1,-3,2.2
36,20180102,600,20180101,2300,0,0,0,50,0,1,-3,2.2
37,20180102,610,20180101,2300,0,0,0,35,0,1,-1,1.8
38,20180102,620,20180101,2300,0,0,0,35,0,1,-1,1.8
39,20180102,630,20180101,2300,0,0,0,35,0,1,-1,1.8
40,20180102,640,20180101,2300,0,0,0,35,0,1,-1,1.8
41,20180102,650,20180101,2300,0,0,0,35,0,1,-1,1.8
42,20180102,700,20180101,2300,0,0,0,35,0,1,-1,1.8
43,20180102,710,20180101,2300,0,0,0,35,0,1,-1,1.8
44,20180102,720,20180101,2300,0,0,0,35,0,1,-1,1.8
45,20180102,730,20180101,2300,0,0,0,35,0,1,-1,1.8
46,20180102,740,20180101,2300,0,0,0,35,0,1,-1,1.8
47,20180102,750,20180101,2300,0,0,0,35,0,1,-1,1.8
48,20180102,800,20180101,2300,0,0,0,35,0,1,-1,1.8
49,20180102,810,20180101,2300,0,0,0,35,0,1,-1,1.8
50,20180102,820,20180101,2300,0,0,0,35,0,1,-1,1.8
51,20180102,830,20180101,2300,0,0,0,35,0,1,-1,1.8
52,20180102,840,20180101,2300,0,0,0,35,0,1,-1,1.8
53,20180102,850,20180101,2300,0,0,0,35,0,1,-1,1.8
54,20180102,900,20180101,2300,0,0,0,35,0,1,-1,1.8
55,20180102,910,20180101,2300,0,0,0,20,0,1,4,2.3
56,20180102,920,20180101,2300,0,0,0,20,0,1,4,2.3
57,20180102,930,20180101,2300,0,0,0,20,0,1,4,2.3
58,20180102,940,20180101,2300,0,0,0,20,0,1,4,2.3
59,20180102,950,20180101,2300,0,0,0,20,0,1,4,2.3
60,20180102,1000,20180101,2300,0,0,0,20,0,1,4,2.3
61,20180102,1010,20180101,2300,0,0,0,20,0,1,4,2.3
62,20180102,1020,20180101,2300,0,0,0,20,0,1,4,2.3
63,20180102,1030,20180101,2300,0,0,0,20,0,1,4,2.3
64,20180102,1040,20180101,2300,0,0,0,20,0,1,4,2.3
65,20180102,1050,20180101,2300,0,0,0,20,0,1,4,2.3
66,20180102,1100,20180101,2300,0,0,0,20,0,1,4,2.3
67,20180102,1110,20180101,2300,0,0,0,20,0,1,4,2.3
68,20180102,1120,20180101,2300,0,0,0,20,0,1,4,2.3
69,20180102,1130,20180101,2300,0,0,0,20,0,1,4,2.3
70,20180102,1140,20180101,2300,0,0,0,20,0,1,4,2.3
71,20180102,1150,20180101,2300,0,0,0,20,0,1,4,2.3
72,20180102,1200,20180101,2300,0,0,0,20,0,1,4,2.3
73,20180102,1210,20180101,2300,0,0,0,15,0,1,4,3.5
74,20180102,1220,20180101,2300,0,0,0,15,0,1,4,3.5
75,20180102,1230,20180101,2300,0,0,0,15,0,1,4,3.5
76,20180102,1240,20180101,2300,0,0,0,15,0,1,4,3.5
77,20180102,1250,20180101,2300,0,0,0,15,0,1,4,3.5
78,20180102,1300,20180101,2300,0,0,0,15,0,1,4,3.5
79,20180102,1310,20180101,2300,0,0,0,15,0,1,4,3.5
80,20180102,1320,20180101,2300,0,0,0,15,0,1,4,3.5
81,20180102,1330,20180101,2300,0,0,0,15,0,1,4,3.5
82,20180102,1340,20180101,2300,0,0,0,15,0,1,4,3.5
83,20180102,1350,20180101,2300,0,0,0,15,0,1,4,3.5
84,20180102,1400,20180101,2300,0,0,0,15,0,1,4,3.5
85,20180102,1410,20180101,2300,0,0,0,15,0,1,4,3.5
86,20180102,1420,20180101,2300,0,0,0,15,0,1,4,3.5
87,20180102,1430,20180101,2300,0,0,0,15,0,1,4,3.5
88,20180102,1440,20180101,2300,0,0,0,15,0,1,4,3.5
89,20180102,1450,20180101,2300,0,0,0,15,0,1,4,3.5
90,20180102,1500,20180101,2300,0,0,0,15,0,1,4,3.5
91,20180102,1510,20180101,2300,10,0,0,25,0,2,1,3.9
92,20180102,1520,20180101,2300,10,0,0,25,0,2,1,3.9
93,20180102,1530,20180101,2300,10,0,0,25,0,2,1,3.9
94,20180102,1540,20180101,2300,10,0,0,25,0,2,1,3.9
95,20180102,1550,20180101,2300,10,0,0,25,0,2,1,3.9
96,20180102,1600,20180101,2300,10,0,0,25,0,2,1,3.9
97,20180102,1610,20180101,2300,10,0,0,25,0,2,1,3.9
98,20180102,1620,20180101,2300,10,0,0,25,0,2,1,3.9
99,20180102,1630,20180101,2300,10,0,0,25,0,2,1,3.9
100,20180102,1640,20180101,2300,10,0,0,25,0,2,1,3.9
101,20180102,1650,20180101,2300,10,0,0,25,0,2,1,3.9
102,20180102,1700,20180101,2300,10,0,0,25,0,2,1,3.9
103,20180102,1710,20180101,2300,10,0,0,25,0,2,1,3.9
104,20180102,1720,20180101,2300,10,0,0,25,0,2,1,3.9
105,20180102,1730,20180101,2300,10,0,0,25,0,2,1,3.9
106,20180102,1740,20180101,2300,10,0,0,25,0,2,1,3.9
107,20180102,1750,20180101,2300,10,0,0,25,0,2,1,3.9
108,20180102,1800,20180101,2300,10,0,0,25,0,2,1,3.9
109,20180102,1810,20180101,2300,10,0,0,35,0,2,-1,3.1
110,20180102,1820,20180101,2300,10,0,0,35,0,2,-1,3.1
111,20180102,1830,20180101,2300,10,0,0,35,0,2,-1,3.1
112,20180102,1840,20180101,2300,10,0,0,35,0,2,-1,3.1
113,20180102,1850,20180101,2300,10,0,0,35,0,2,-1,3.1
114,20180102,1900,20180101,2300,10,0,0,35,0,2,-1,3.1
115,20180102,1910,20180101,2300,10,0,0,35,0,2,-1,3.1
116,20180102,1920,20180101,2300,10,0,0,35,0,2,-1,3.1
117,20180102,1930,20180101,2300,10,0,0,35,0,2,-1,3.1
118,20180102,1940,20180101,2300,10,0,0,35,0,2,-1,3.1
119,20180102,1950,20180101,2300,10,0,0,35,0,2,-1,3.1
120,20180102,2000,20180101,2300,10,0,0,35,0,2,-1,3.1
121,20180102,2010,20180101,2300,10,0,0,35,0,2,-1,3.1
122,20180102,2020,20180101,2300,10,0,0,35,0,2,-1,3.1
123,20180102,2030,20180101,2300,10,0,0,35,0,2,-1,3.1
124,20180102,2040,20180101,2300,10,0,0,35,0,2,-1,3.1
125,20180102,2050,20180101,2300,10,0,0,35,0,2,-1,3.1
126,20180102,2100,20180101,2300,10,0,0,35,0,2,-1,3.1
127,20180102,2110,20180101,2300,10,0,0,35,0,2,-1,3.1
128,20180102,2120,20180101,2300,10,0,0,35,0,2,-1,3.1
129,20180102,2130,20180101,2300,10,0,0,35,0,2,-1,3.1
130,20180102,2140,20180101,2300,10,0,0,35,0,2,-1,3.1
131,20180102,2150,20180101,2300,10,0,0,35,0,2,-1,3.1
132,20180102,2200,20180101,2300,10,0,0,35,0,2,-1,3.1
133,20180102,2210,20180101,2300,10,0,0,35,0,2,-1,3.1
134,20180102,2220,20180101,2300,10,0,0,35,0,2,-1,3.1
135,20180102,2230,20180101,2300,10,0,0,35,0,2,-1,3.1
136,20180102,2240,20180101,2300,10,0,0,35,0,2,-1,3.1
137,20180102,2250,20180101,2300,10,0,0,35,0,2,-1,3.1
138,20180102,2300,20180101,2300,10,0,0,35,0,2,-1,3.1
139,20180102,2310,20180101,2300,10,0,0,35,0,2,-1,3.1
140,20180102,2320,20180101,2300,10,0,0,35,0,2,-1,3.1
141,20180102,2330,20180101,2300,10,0,0,35,0,2,-1,3.1
142,20180102,2340,20180101,2300,10,0,0,35,0,2,-1,3.1
143,20180102,2350,20180101,2300,10,0,0,35,0,2,-1,3.1
144,20180103,0,20180102,2300,20,0,0,35,0,3,-4,3
145,20180103,10,20180102,2300,20,0,0,35,0,3,-4,3
146,20180103,20,20180102,2300,20,0,0,35,0,3,-4,3
147,20180103,30,20180102,2300,20,0,0,35,0,3,-4,3
148,20180103,40,20180102,2300,20,0,0,35,0,3,-4,3
149,20180103,50,20180102,2300,20,0,0,35,0,3,-4,3
150,20180103,100,20180102,2300,20,0,0,35,0,3,-4,3
151,20180103,110,20180102,2300,20,0,0,35,0,3,-4,3
152,20180103,120,20180102,2300,20,0,0,35,0,3,-4,3
153,20180103,130,20180102,2300,20,0,0,35,0,3,-4,3
154,20180103,140,20180102,2300,20,0,0,35,0,3,-4,3
155,20180103,150,20180102,2300,20,0,0,35,0,3,-4,3
156,20180103,200,20180102,2300,20,0,0,35,0,3,-4,3
157,20180103,210,20180102,2300,20,0,0,35,0,3,-4,3
158,20180103,220,20180102,2300,20,0,0,35,0,3,-4,3
159,20180103,230,20180102,2300,20,0,0,35,0,3,-4,3
160,20180103,240,20180102,2300,20,0,0,35,0,3,-4,3
161,20180103,250,20180102,2300,20,0,0,35,0,3,-4,3
162,20180103,300,20180102,2300,20,0,0,35,0,3,-4,3
163,20180103,310,20180102,2300,20,0,0,40,0,3,-5,2.8
164,20180103,320,20180102,2300,20,0,0,40,0,3,-5,2.8
165,20180103,330,20180102,2300,20,0,0,40,0,3,-5,2.8
166,20180103,340,20180102,2300,20,0,0,40,0,3,-5,2.8
167,20180103,350,20180102,2300,20,0,0,40,0,3,-5,2.8
168,20180103,400,20180102,2300,20,0,0,40,0,3,-5,2.8
169,20180103,410,20180102,2300,20,0,0,40,0,3,-5,2.8
170,20180103,420,20180102,2300,20,0,0,40,0,3,-5,2.8
171,20180103,430,20180102,2300,20,0,0,40,0,3,-5,2.8
172,20180103,440,20180102,2300,20,0,0,40,0,3,-5,2.8
173,20180103,450,20180102,2300,20,0,0,40,0,3,-5,2.8
174,20180103,500,20180102,2300,20,0,0,40,0,3,-5,2.8
175,20180103,510,20180102,2300,20,0,0,40,0,3,-5,2.8
176,20180103,520,20180102,2300,20,0,0,40,0,3,-5,2.8
177,20180103,530,20180102,2300,20,0,0,40,0,3,-5,2.8
178,20180103,540,20180102,2300,20,0,0,40,0,3,-5,2.8
179,20180103,550,20180102,2300,20,0,0,40,0,3,-5,2.8
180,20180103,600,20180102,2300,20,0,0,40,0,3,-5,2.8
181,20180103,610,20180102,2300,10,0,0,35,0,2,-4,2.5
182,20180103,620,20180102,2300,10,0,0,35,0,2,-4,2.5
183,20180103,630,20180102,2300,10,0,0,35,0,2,-4,2.5
184,20180103,640,20180102,2300,10,0,0,35,0,2,-4,2.5
185,20180103,650,20180102,2300,10,0,0,35,0,2,-4,2.5
186,20180103,700,20180102,2300,10,0,0,35,0,2,-4,2.5
187,20180103,710,20180102,2300,10,0,0,35,0,2,-4,2.5
188,20180103,720,20180102,2300,10,0,0,35,0,2,-4,2.5
189,20180103,730,20180102,2300,10,0,0,35,0,2,-4,2.5
190,20180103,740,20180102,2300,10,0,0,35,0,2,-4,2.5
191,20180103,750,20180102,2300,10,0,0,35,0,2,-4,2.5
192,20180103,800,20180102,2300,10,0,0,35,0,2,-4,2.5
193,20180103,810,20180102,2300,10,0,0,35,0,2,-4,2.5
194,20180103,820,20180102,2300,10,0,0,35,0,2,-4,2.5
195,20180103,830,20180102,2300,10,0,0,35,0,2,-4,2.5
196,20180103,840,20180102,2300,10,0,0,35,0,2,-4,2.5
197,20180103,850,20180102,2300,10,0,0,35,0,2,-4,2.5
198,20180103,900,20180102,2300,10,0,0,35,0,2,-4,2.5
199,20180103,910,20180102,2300,10,0,0,20,0,2,1,2.2
200,20180103,920,20180102,2300,10,0,0,20,0,2,1,2.2
201,20180103,930,20180102,2300,10,0,0,20,0,2,1,2.2
202,20180103,940,20180102,2300,10,0,0,20,0,2,1,2.2
203,20180103,950,20180102,2300,10,0,0,20,0,2,1,2.2
204,20180103,1000,20180102,2300,10,0,0,20,0,2,1,2.2
205,20180103,1010,20180102,2300,10,0,0,20,0,2,1,2.2
206,20180103,1020,20180102,2300,10,0,0,20,0,2,1,2.2
207,20180103,1030,20180102,2300,10,0,0,20,0,2,1,2.2
208,20180103,1040,20180102,2300,10,0,0,20,0,2,1,2.2
209,20180103,1050,20180102,2300,10,0,0,20,0,2,1,2.2
210,20180103,1100,20180102,2300,10,0,0,20,0,2,1,2.2
211,20180103,1110,20180102,2300,10,0,0,20,0,2,1,2.2
212,20180103,1120,20180102,2300,10,0,0,20,0,2,1,2.2
213,20180103,1130,20180102,2300,10,0,0,20,0,2,1,2.2
214,20180103,1140,20180102,2300,10,0,0,20,0,2,1,2.2
215,20180103,1150,20180102,2300,10,0,0,20,0,2,1,2.2
216,20180103,1200,20180102,2300,10,0,0,20,0,2,1,2.2
217,20180103,1210,20180102,2300,10,0,0,15,0,2,2,3.8
218,20180103,1220,20180102,2300,10,0,0,15,0,2,2,3.8
219,20180103,1230,20180102,2300,10,0,0,15,0,2,2,3.8
220,20180103,1240,20180102,2300,10,0,0,15,0,2,2,3.8
221,20180103,1250,20180102,2300,10,0,0,15,0,2,2,3.8
222,20180103,1300,20180102,2300,10,0,0,15,0,2,2,3.8
223,20180103,1310,20180102,2300,10,0,0,15,0,2,2,3.8
224,20180103,1320,20180102,2300,10,0,0,15,0,2,2,3.8
225,20180103,1330,20180102,2300,10,0,0,15,0,2,2,3.8
226,20180103,1340,20180102,2300,10,0,0,15,0,2,2,3.8
227,20180103,1350,20180102,2300,10,0,0,15,0,2,2,3.8
228,20180103,1400,20180102,2300,10,0,0,15,0,2,2,3.8
229,20180103,1410,20180102,2300,10,0,0,15,0,2,2,3.8
230,20180103,1420,20180102,2300,10,0,0,15,0,2,2,3.8
231,20180103,1430,20180102,2300,10,0,0,15,0,2,2,3.8
232,20180103,1440,20180102,2300,10,0,0,15,0,2,2,3.8
233,20180103,1450,20180102,2300,10,0,0,15,0,2,2,3.8
234,20180103,1500,20180102,2300,10,0,0,15,0,2,2,3.8
235,20180103,1510,20180102,2300,10,0,0,20,0,2,-1,3.8
236,20180103,1520,20180102,2300,10,0,0,20,0,2,-1,3.8
237,20180103,1530,20180102,2300,10,0,0,20,0,2,-1,3.8
238,20180103,1540,20180102,2300,10,0,0,20,0,2,-1,3.8
239,20180103,1550,20180102,2300,10,0,0,20,0,2,-1,3.8
240,20180103,1600,20180102,2300,10,0,0,20,0,2,-1,3.8
241,20180103,1610,20180102,2300,10,0,0,20,0,2,-1,3.8
242,20180103,1620,20180102,2300,10,0,0,20,0,2,-1,3.8
243,20180103,1630,20180102,2300,10,0,0,20,0,2,-1,3.8
244,20180103,1640,20180102,2300,10,0,0,20,0,2,-1,3.8
245,20180103,1650,20180102,2300,10,0,0,20,0,2,-1,3.8
246,20180103,1700,20180102,2300,10,0,0,20,0,2,-1,3.8
247,20180103,1710,20180102,2300,10,0,0,20,0,2,-1,3.8
248,20180103,1720,20180102,2300,10,0,0,20,0,2,-1,3.8
249,20180103,1730,20180102,2300,10,0,0,20,0,2,-1,3.8
250,20180103,1740,20180102,2300,10,0,0,20,0,2,-1,3.8
251,20180103,1750,20180102,2300,10,0,0,20,0,2,-1,3.8
252,20180103,1800,20180102,2300,10,0,0,20,0,2,-1,3.8
253,20180103,1810,20180102,2300,10,0,0,30,0,2,-3,3
254,20180103,1820,20180102,2300,10,0,0,30,0,2,-3,3
255,20180103,1830,20180102,2300,10,0,0,30,0,2,-3,3
256,20180103,1840,20180102,2300,10,0,0,30,0,2,-3,3
257,20180103,1850,20180102,2300,10,0,0,30,0,2,-3,3
258,20180103,1900,20180102,2300,10,0,0,30,0,2,-3,3
259,20180103,1910,20180102,2300,10,0,0,30,0,2,-3,3
260,20180103,1920,20180102,2300,10,0,0,30,0,2,-3,3
261,20180103,1930,20180102,2300,10,0,0,30,0,2,-3,3
262,20180103,1940,20180102,2300,10,0,0,30,0,2,-3,3
263,20180103,1950,20180102,2300,10,0,0,30,0,2,-3,3
264,20180103,2000,20180102,2300,10,0,0,30,0,2,-3,3
265,20180103,2010,20180102,2300,10,0,0,30,0,2,-3,3
266,20180103,2020,20180102,2300,10,0,0,30,0,2,-3,3
267,20180103,2030,20180102,2300,10,0,0,30,0,2,-3,3
268,20180103,2040,20180102,2300,10,0,0,30,0,2,-3,3
269,20180103,2050,20180102,2300,10,0,0,30,0,2,-3,3
270,20180103,2100,20180102,2300,10,0,0,30,0,2,-3,3
271,20180103,2110,20180102,2300,10,0,0,30,0,2,-3,3
272,20180103,2120,20180102,2300,10,0,0,30,0,2,-3,3
273,20180103,2130,20180102,2300,10,0,0,30,0,2,-3,3
274,20180103,2140,20180102,2300,10,0,0,30,0,2,-3,3
275,20180103,2150,20180102,2300,10,0,0,30,0,2,-3,3
276,20180103,2200,20180102,2300,10,0,0,30,0,2,-3,3
277,20180103,2210,20180102,2300,10,0,0,30,0,2,-3,3
278,20180103,2220,20180102,2300,10,0,0,30,0,2,-3,3
279,20180103,2230,20180102,2300,10,0,0,30,0,2,-3,3
280,20180103,2240,20180102,2300,10,0,0,30,0,2,-3,3
281,20180103,2250,20180102,2300,10,0,0,30,0,2,-3,3
282,20180103,2300,20180102,2300,10,0,0,30,0,2,-3,3
283,20180103,2310,20180102,2300,10,0,0,30,0,2,-3,3
284,20180103,2320,20180102,2300,10,0,0,30,0,2,-3,3
285,20180103,2330,20180102,2300,10,0,0,30,0,2,-3,3
286,20180103,2340,20180102,2300,10,0,0,30,0,2,-3,3
287,20180103,2350,20180102,2300,10,0,0,30,0,2,-3,3
288,20180104,0,20180103,2300,10,0,0,40,0,2,-5,2.2
289,20180104,10,20180103,2300,10,0,0,40,0,2,-5,2.2
290,20180104,20,20180103,2300,10,0,0,40,0,2,-5,2.2
291,20180104,30,20180103,2300,10,0,0,40,0,2,-5,2.2
292,20180104,40,20180103,2300,10,0,0,40,0,2,-5,2.2
293,20180104,50,20180103,2300,10,0,0,40,0,2,-5,2.2
294,20180104,100,20180103,2300,10,0,0,40,0,2,-5,2.2
295,20180104,110,20180103,2300,10,0,0,40,0,2,-5,2.2
